AGE,GR
2490,35.83340047
2491,35.83340047
2492,35.83340047
2493,35.83340047
2494,35.83340047
2495,35.83340047
2496,38.56146897
2497,39.76998331
2498,40.68875687
2499,41.73380521
2500,42.67110513
2501,43.06928659
2502,42.93441945
2503,42.37039968
2504,41.46085024
2505,40.42889771
2506,39.30543644
2507,38.19325404
2508,37.23990368
2509,36.72528386
2510,36.58818423
2511,36.35467548
2512,36.0093691
2513,35.66702923
2514,35.56766893
2515,35.86270912
2516,36.31049644
2517,36.6044825
2518,36.66348458
2519,36.47409565
2520,35.83201593
2521,34.70920922
2522,33.82286222
2523,33.50687853
2524,33.75687636
2525,34.62363914
2526,35.64437604
2527,36.27670262
2528,36.57983612
2529,36.55101365
2530,36.37422581
2531,36.26075595
2532,36.43054746
2533,36.81531285
2534,37.21549726
2535,37.40440467
2536,37.29764386
2537,36.6848949
2538,35.89742789
2539,35.33309815
2540,35.02497794
2541,34.88131614
2542,34.90239968
2543,35.0725532
2544,35.36032725
2545,35.71392921
2546,36.02539184
2547,36.13376074
2548,35.97224249
2549,35.5933414
2550,35.36627588
2551,35.63584015
2552,36.73033685
2553,38.71168764
2554,40.90661155
2555,42.84204412
2556,44.18608228
2557,44.86410386
2558,45.38387709
2559,45.96438303
2560,46.59464758
2561,47.20106459
2562,47.36041599
2563,46.86312032
2564,45.79024912
2565,44.20908848
2566,42.7754231
2567,41.57882375
2568,40.61559389
2569,39.82780268
2570,39.00852311
2571,38.23808058
2572,37.77702064
2573,37.79912933
2574,38.18413003
2575,38.65881158
2576,39.0224954
2577,38.96661806
2578,38.36710494
2579,37.59978239
2580,36.86707487
2581,36.34987242
2582,36.11806031
2583,35.95038597
2584,35.52626451
2585,34.9623947
2586,34.34118915
2587,33.9524154
2588,33.93911057
2589,34.42744265
2590,35.44847831
2591,36.78740386
2592,38.35557008
2593,39.93880967
2594,41.49629547
2595,42.9882746
2596,44.28308549
2597,45.25936339
2598,45.7958088
2599,45.77490252
2600,45.25829994
2601,44.21493276
2602,42.77537794
2603,40.96931519
2604,39.14202835
2605,37.51272761
2606,36.2025691
2607,35.31360276
2608,34.56378577
2609,33.89436486
2610,33.29548081
2611,32.83584309
2612,32.78320432
2613,33.16824018
2614,33.77637898
2615,34.46489915
2616,34.89291436
2617,35.12527316
2618,35.3826318
2619,35.80840505
2620,36.60927714
2621,37.6796229
2622,38.92123653
2623,40.06755385
2624,40.77222386
2625,41.23961944
2626,41.61198758
2627,42.02981987
2628,42.61390845
2629,43.08909476
2630,43.18361557
2631,42.86700016
2632,42.08060787
2633,41.1579384
2634,40.33931439
2635,39.89686783
2636,39.91960033
2637,40.12878852
2638,40.37864641
2639,40.25122664
2640,39.70711296
2641,39.07445738
2642,38.46547601
2643,38.11563344
2644,37.94180091
2645,37.7055526
2646,37.38128172
2647,37.07555424
2648,36.86399311
2649,36.74440972
2650,36.38765062
2651,36.19444253
2652,36.03582286
2653,35.76910404
2654,35.93843725
2655,36.29983325
2656,36.85237422
2657,37.62133313
2658,38.41591809
2659,38.92990382
2660,39.14021159
2661,39.44299607
2662,39.93825567
2663,40.33206094
2664,41.00059635
2665,41.66476202
2666,42.12461129
2667,42.55077152
2668,42.88994697
2669,43.13785503
2670,43.33179186
2671,43.45175888
2672,43.39589923
2673,43.12113087
2674,42.81362028
2675,42.51637802
2676,42.2900468
2677,42.21717653
2678,42.16984827
2679,42.08577942
2680,41.96830304
2681,41.81820786
2682,41.57429886
2683,41.16564539
2684,40.84974447
2685,40.72586329
2686,40.76563051
2687,40.90694879
2688,40.73447303
2689,40.19861877
2690,39.51136178
2691,38.73753112
2692,38.07419936
2693,37.66567854
2694,37.65155978
2695,37.93536951
2696,38.10791556
2697,38.08474082
2698,37.63506484
2699,36.88906377
2700,36.35903706
2701,36.04581054
2702,35.91781138
2703,35.85554899
2704,35.81728221
2705,35.87184675
2706,36.17163239
2707,36.69605928
2708,37.15816427
2709,37.47445095
2710,37.54212297
2711,37.18049666
2712,36.48082344
2713,35.91843047
2714,35.50108595
2715,35.10701939
2716,34.51092478
2717,33.60204398
2718,32.32284714
2719,31.08707264
2720,30.34928149
2721,30.37238734
2722,31.00338206
2723,32.09323947
2724,33.09296561
2725,33.61602306
2726,33.76278218
2727,33.56674455
2728,33.30448756
2729,33.14365545
2730,33.15572335
2731,33.35401881
2732,33.6295551
2733,33.7997859
2734,33.86660446
2735,33.94601347
2736,34.10414713
2737,34.48911424
2738,35.02390251
2739,35.66318853
2740,36.41604798
2741,37.0997159
2742,37.52687791
2743,37.65210696
2744,37.5485825
2745,37.26311757
2746,37.06258664
2747,37.00153209
2748,37.03849411
2749,37.19827962
2750,37.49812321
2751,37.85368226
2752,38.23020489
2753,38.7331375
2754,39.41223269
2755,40.31166621
2756,41.40564812
2757,42.49680487
2758,43.40220883
2759,44.03479408
2760,44.50534869
2761,44.78011949
2762,44.83551965
2763,44.77258192
2764,44.65082144
2765,44.41441264
2766,44.00252726
2767,43.46047117
2768,42.77264156
2769,41.8874341
2770,41.0314261
2771,40.516929
2772,40.21984879
2773,39.99882139
2774,39.83871585
2775,39.62305321
2776,39.28197828
2777,38.8046185
2778,38.12906739
2779,37.32219052
2780,36.697017
2781,36.4013908
2782,36.55879655
2783,37.16632127
2784,37.87442662
2785,38.53976212
2786,39.17516297
2787,39.7889908
2788,40.45002989
2789,41.13095458
2790,41.84860187
2791,42.52195188
2792,42.93811525
2793,42.92643451
2794,42.61280595
2795,42.03370946
2796,41.30727276
2797,40.62685621
2798,39.97211069
2799,39.3227269
2800,38.58038992
2801,37.77307499
2802,37.00245728
2803,36.32927597
2804,35.79969813
2805,35.32497065
2806,34.74515001
2807,34.2180554
2808,33.65620298
2809,33.14098358
2810,32.7786625
2811,32.53267711
2812,32.35254959
2813,32.33295216
2814,32.50145774
2815,32.90052494
2816,33.60232795
2817,34.72618157
2818,36.27987966
2819,38.04264919
2820,39.85264079
2821,41.69882292
2822,43.28335329
2823,44.41626846
2824,45.20218175
2825,45.66539035
2826,45.80989427
2827,45.76447518
2828,45.55520367
2829,45.23806659
2830,44.95635516
2831,44.80801338
2832,44.68846035
2833,44.50072582
2834,44.04725421
2835,43.45251175
2836,42.91973453
2837,42.51550138
2838,42.27718602
2839,42.16749887
2840,42.10221232
2841,42.32621476
2842,42.6795678
2843,43.0143111
2844,43.39168635
2845,43.60951903
2846,43.43036699
2847,43.02836049
2848,42.34528205
2849,41.36343932
2850,40.65381764
2851,40.27689566
2852,40.29354964
