"AGE","GR"
2540.71712388369,48.815
2542.64620643095,48.815
2543.61074770458,48.815
2544.57528897821,48.207
2545.53983025184,48.815
2546.50437152547,49.423
2547.4689127991,49.423
2547.95118343591,46.381
2548.43345407272,45.773
2548.91572470953,44.86
2549.39799534635,44.86
2549.88026598317,45.469
2550.36253661998,45.773
2550.84480725679,44.86
2551.32707789361,47.294
2551.80934853042,46.686
2552.29161916724,45.773
2552.77388980405,45.773
2553.25616044087,44.86
2553.73843107768,42.123
2554.2207017145,41.514
2556.14978426176,41.514
2558.07886680902,43.948
2560.00794935628,48.207
2561.93703190354,51.249
2563.86611445079,52.161
2565.79519699805,52.465
2567.72427954531,52.465
2569.65336209257,53.074
2571.58244463983,50.64
2573.51152718709,49.423
2575.44060973435,47.294
2577.3696922816,44.86
2578.33423355523,43.035
2579.29877482886,40.298
2580.26331610249,38.466
2581.22785737612,34.214
2583.15693992338,33.605
2585.08602247064,38.777
2587.0151050179,43.948
2588.94418756516,47.915
2590.87327011242,51.553
2592.80235265967,52.161
2594.73143520693,50.944
2596.66051775419,50.64
2598.58960030145,51.252
2600.51868284871,52.052
2602.44776539597,54.482
2604.37684794323,56.305
2606.30593049048,56.913
2608.23501303774,55.09
2610.164095585,53.875
2612.09317813226,52.964
2614.02226067952,52.964
2615.95134322678,53.267
2617.88042577404,56.913
2619.80950832129,55.394
2621.73859086855,53.275
2623.66767341581,52.66
2625.59675596307,52.964
2627.52583851033,56.001
2629.45492105759,56.913
2631.38400360485,55.698
2633.31308615211,55.698
2635.24216869936,56.913
2637.17125124662,55.09
2639.10033379388,55.09
2641.02941634114,53.875
2642.9584988884,53.267
2644.88758143566,50.229
2646.81666398292,45.976
2648.74574653017,41.116
2650.67482907743,39.293
2654.53299417195,39.9
2658.39115926647,41.727
2662.24932436098,43.554
2664.17840690824,45.369
2666.1074894555,45.672
2667.07203072913,46.28
2668.03657200276,47.191
2669.96565455002,47.191
2671.89473709728,47.799
2673.82381964454,47.191
2675.7529021918,46.888
2677.68198473905,43.546
2678.64652601268,41.723
2679.61106728631,43.242
2680.57560855994,44.761
2681.54014983357,45.369
2682.5046911072,45.369
2683.46923238083,45.369
2684.43377365446,45.369
2685.39831492809,45.369
2686.36285620172,47.191
2687.32739747535,48.407
2688.29193874898,48.71
2689.25648002261,49.014
2690.22102129623,49.318
2691.18556256986,49.318
2692.15010384349,47.191
2693.11464511712,45.369
2693.59691575394,41.723
2694.07918639075,39.293
2694.56145702757,35.04
2695.04372766438,35.647
2695.52599830119,37.774
2696.00826893801,38.989
2696.97281021164,37.47
2698.9018927589,35.951
2700.83097530616,38.989
2701.79551657979,39.597
2702.76005785342,39.9
2703.24232849023,39.293
2703.72459912705,36.862
2704.20686976386,38.989
2704.68914040067,42.027
2705.17141103748,43.546
2705.6536816743,44.457
2706.13595231111,45.065
2706.61822294793,45.672
2707.10049358474,45.976
2707.58276422156,44.457
2708.06503485837,44.145
2708.54730549519,42.634
2709.029576132,42.634
2709.51184676882,42.634
2709.99411740563,43.546
2710.47638804245,42.634
2710.95865867927,43.242
2711.44092931608,42.027
2711.92319995289,41.723
2712.40547058971,41.723
2712.88774122652,45.065
2713.37001186334,48.111
2713.85228250016,46.584
2714.33455313697,44.457
2715.2990944106,40.812
2716.26363568423,39.597
2718.19271823149,38.078
2720.1477604149,36.862
2722.48799206618,38.381
2724.82822371746,36.862
2727.16845536873,36.862
2729.50868702001,35.647
2731.84891867129,35.04
2734.18915032256,35.04
2736.52938197384,35.04
2738.86961362512,35.04
2741.20984527639,35.04
2743.55007692767,35.04
2745.89030857895,35.04
2748.23054023022,35.04
2749.40065605586,38.381
2750.5707718815,39.293
2751.74088770714,39.293
2752.91100353278,38.381
2754.08111935841,36.862
2755.25123518405,38.381
2756.42135100969,38.381
2757.59146683533,38.381
2758.76158266097,38.381
2759.93169848661,37.774
2761.10181431224,37.47
2762.27193013788,38.685
2763.44204596352,39.9
2764.61216178916,39.9
2765.7822776148,39.293
2766.95239344044,38.989
2768.12250926607,36.862
2769.29262509171,36.862
2770.46274091735,36.559
2771.63285674299,37.774
2772.80297256863,39.293
2773.97308839427,39.293
2776.31332004554,37.774
2778.65355169682,37.166
2780.9937833481,36.559
2783.33401499937,38.086
2785.67424665065,40.812
2788.01447830193,41.723
2790.3547099532,40.204
2792.69494160448,40.204
2793.86505743012,41.723
2795.03517325575,39.9
2796.20528908139,40.812
2797.37540490703,40.812
2798.54552073267,40.204
2799.71563655831,38.381
2800.30069447113,36.862
2800.88575238395,36.862
2801.47081029676,36.862
2802.05586820958,37.774
2802.6409261224,39.293
2803.22598403522,41.723
2803.81104194804,43.242
2804.39609986086,45.369
2804.98115777368,46.888
2805.5662156865,50.229
2806.15127359932,48.71
2806.73633151214,47.191
2807.90644733778,47.495
2809.07656316341,47.799
2810.24667898905,50.229
2811.41679481469,52.66
2812.00185272751,53.571
2812.58691064033,54.482
2813.17196855315,52.052
2813.75702646597,50.229
2814.92714229161,47.799
2816.09725811724,45.672
2817.26737394288,41.419
2818.43748976852,38.381
2819.60760559416,36.862
2820.7777214198,39.9
2821.94783724544,41.419
2823.11795307107,42.634
2824.28806889671,44.153
2825.45818472235,45.065
2826.62830054799,45.672
2827.79841637363,46.28
2828.96853219927,48.407
2830.1386480249,45.668
2831.30876385054,42.027
2832.47887967618,41.419
2834.81911132746,41.723
2837.15934297873,41.723
2839.49957463001,41.723
2841.83980628129,44.153
2844.18003793256,45.065
2846.52026958384,46.584
2848.86050123512,45.369
2851.20073288639,45.369
2853.54096453767,45.369
2855.88119618895,45.065
2858.22142784022,43.546
2859.39154366586,43.546
2860.5616594915,43.546
2861.73177531714,42.634
2862.90189114278,41.419
2864.07200696841,39.293
2865.24212279405,38.381
2866.41223861969,36.862
2867.58235444533,36.862
2868.75247027097,36.862
2869.92258609661,38.381
2871.09270192224,39.293
2872.26281774788,39.9
2873.43293357352,41.116
2874.60304939916,43.546
2875.7731652248,43.546
2876.94328105044,43.546
2879.28351270171,42.027
2881.62374435299,42.027
2883.96397600427,43.558
2886.30420765554,45.976
2888.64443930682,43.546
2890.9846709581,41.116
2893.32490260937,41.116
2895.66513426065,42.634
2898.00536591193,43.242
2900.3455975632,44.153
2901.51571338884,43.242
2902.68582921448,42.634
2903.85594504012,41.723
2905.02606086575,40.812
2906.19617669139,40.812
2907.36629251703,41.723
2908.53640834267,43.546
2909.70652416831,43.546
2910.87663999395,44.153
2912.04675581958,42.027
2913.21687164522,42.027
2914.38698747086,41.723
2915.5571032965,40.812
2916.72721912214,40.204
2919.06745077341,39.597
2921.40768242469,43.858
2923.74791407597,48.71
2926.08814572724,52.052
2928.42837737852,52.364
2930.7686090298,47.779
2933.10884068107,45.976
2935.44907233235,45.369
2937.78930398363,47.495
2940.1295356349,48.103
2942.46976728618,48.103
2944.80999893746,47.191
2947.15023058873,47.191
2949.49046224001,48.103
2951.83069389129,49.014
2954.17092554256,50.229
2956.51115719384,49.318
2958.85138884512,47.191
2963.53185214767,47.191
2965.87208379895,47.191
2968.21231545022,46.888
2970.5525471015,45.976
2972.89277875278,46.888
2975.23301040405,47.191
2977.57324205533,47.495
2979.91347370661,49.318
2982.25370535788,50.229
2984.59393700916,49.014
2986.93416866043,49.014
2989.27440031171,50.229
2991.61463196299,50.229
2996.29509526554,49.622
3000.97555856809,47.799
3003.31579021937,47.191
3005.65602187065,43.546
3006.82613769629,43.546
3007.99625352192,45.065
3009.16636934756,45.369
3010.3364851732,45.672
3011.50660099884,46.28
3012.67671682448,46.888
3013.84683265012,47.191
3015.01694847575,47.191
3016.18706430139,46.584
3017.35718012703,45.369
3018.52729595267,47.495
3019.69741177831,50.837
3020.86752760395,50.837
3022.03764342958,49.318
3023.20775925522,48.4070000000005
3024.37787508086,47.799
3025.5479909065,44.761
3026.71810673214,43.242
3027.88822255777,40.812
3029.05833838341,40.2040000000003
3031.39857003469,37.166
3033.73880168597,34.736
3034.9089175116,33.521
3036.07903333724,36.559
3037.24914916288,40.8119999999976
3038.41926498852,42.027
3039.58938081416,41.419
3040.7594966398,40.812
3043.09972829107,39.293
3045.43995994235,39.8999999999997
3046.61007576799,36.255
3047.78019159363,34.736
3048.95030741926,30.787
3050.1204232449,31.394
3051.29053907054,33.8239999999986
3052.46065489618,37.166
3054.80088654746,39.293
3055.9710023731,43.546
3057.14111819873,45.976
3059.48134985001,47.4949999999991
3061.82158150129,46.888
3064.16181315256,45.369
3066.50204480384,45.369
3068.84227645511,47.495
3071.18250810639,48.4069999999995
3073.52273975767,50.533
3075.86297140895,51.141
3078.20320306022,50.229
3080.5434347115,47.191
3082.88366636277,47.4949999999998
3085.22389801405,48.103
3087.56412966533,48.407
3089.90436131661,44.457
3092.24459296788,40.812
3094.58482461916,42.3309999999991
3096.92505627044,44.761
3099.26528792171,46.584
3101.60551957299,45.369
3103.94575122426,41.723
3106.28598287554,40.5080000000007
3108.62621452682,40.204
3110.96644617809,37.774
3113.30667782937,35.951
3117.98714113192,37.166
3122.66760443448,38.3809999999993
3125.00783608575,38.381
3127.34806773703,38.381
