DEPTH,GR
161.849,7.188
162.001,7.191
162.154,8.141
162.306,7.285
162.458,7.023
162.611,6.047
162.763,5.395
162.916,7.73
163.068,9.258
163.22,10.211
163.373,7.926
163.525,7.039
163.678,8.195
163.83,9.953
163.982,10.625
164.135,9.852
164.287,8.961
164.44,7.867
164.592,6.52
164.744,5.438
164.897,5.441
165.049,6.793
165.202,7.23
165.354,8.75
165.506,8.758
165.659,10.484
165.811,9.539
165.964,9.484
166.116,8.398
166.268,8.398
166.421,7.309
166.573,7.52
166.726,9.063
166.878,9.719
167.03,7.82
167.183,6.125
167.335,6.332
167.488,8.828
167.64,9.047
167.792,7.973
167.945,7.594
168.097,8.867
168.25,10.594
168.402,10.383
168.554,8.273
168.707,8.281
168.859,8.055
169.012,8.438
169.164,7.352
169.316,8.375
169.469,9.055
169.621,10.148
169.774,10.148
169.926,9.492
170.078,9.492
170.231,9.867
170.383,10.961
170.536,10.195
170.688,9.453
170.84,8.805
170.993,8.227
171.145,7.137
171.298,6.477
171.45,7.633
171.602,8.734
171.755,10.016
171.907,9.227
172.06,9.219
172.212,8.141
172.364,8.336
172.517,8.125
172.669,9.445
172.822,9.266
172.974,9.047
173.126,9.648
173.279,10.172
173.431,11.047
173.584,11.641
173.736,11.867
173.888,11.789
174.041,10.813
174.193,11.258
174.346,10.672
174.498,10.219
174.65,9.977
174.803,8.633
174.955,8.422
175.108,8.008
175.26,8.594
175.412,9.023
175.565,8.82
175.717,8.43
175.87,7.125
176.022,7.359
176.174,9.133
176.327,8.266
176.479,7.895
176.632,7.277
176.784,9.023
176.936,8.242
177.089,7.594
177.241,6.883
177.394,8.203
177.546,8.195
177.698,8.203
177.851,6.914
178.003,7.578
178.156,7.617
178.308,7.398
178.46,8.359
178.613,10.539
178.765,11.852
178.918,9.719
179.07,9.078
179.222,9.078
179.375,9.469
179.527,8.797
179.68,7.922
179.832,8.688
179.984,7.387
180.137,8.117
180.289,7.465
180.442,8.977
180.594,8.781
180.746,8.773
180.899,7.039
181.051,7.813
181.204,8.703
181.356,10.867
181.508,9.781
181.661,9.125
181.813,9.5
181.966,9.719
182.118,10.148
182.27,8.227
182.423,8.656
182.575,7.352
182.728,8.125
182.88,7.684
183.032,8.555
183.185,8.367
183.337,7.5
183.49,7.535
183.642,6.781
183.794,8.516
183.947,7.168
184.099,6.734
184.252,6.293
184.404,8.219
184.556,8.438
184.709,7.91
184.861,7.07
185.014,6.855
185.166,7.059
185.318,5.758
185.471,8.555
185.623,8.352
185.776,9.43
185.928,8.367
186.08,8.555
