DEPTH,GR
365.1504,18.172
365.3028,17.109
365.4552,19.219
365.6076,20.234
365.76,19.344
365.9124,17.875
366.0648,14.75
366.2172,14.82
366.3696,13.977
366.522,14.031
366.6744,13.766
366.8268,16.094
366.9792,15.664
367.1316,17.547
367.284,17
367.4364,16.938
367.5888,15.438
367.7412,12.563
367.8936,13.523
368.046,13.094
368.1984,12.758
368.3508,11.867
368.5032,12.352
368.6556,12.875
368.808,14.586
368.9604,13.773
369.1128,14.313
369.2652,13.5
369.4176,15.141
369.57,15.703
369.7224,15.68
369.8748,15.664
370.0272,17.438
370.1796,18.844
370.332,20.766
370.4844,22.328
370.6368,25.766
370.7892,25.063
370.9416,23.5
371.094,20.438
371.2464,20.797
371.3988,22.375
371.5512,19.969
371.7036,19.969
371.856,17.281
372.0084,18.438
372.1608,20.031
372.3132,21.625
372.4656,22.172
372.618,18.938
372.7704,19.344
372.9228,20.703
373.0752,21.797
373.2276,19.313
373.38,20.953
373.5324,22.953
373.6848,24.344
373.8372,25.781
373.9896,23.063
374.142,25.063
374.2944,20.797
374.4468,23.969
374.5992,22.531
374.7516,23.578
374.904,22.125
375.0564,21.953
375.2088,20
375.3612,17.922
375.5136,18.406
375.666,21.453
375.8184,22.406
375.9708,22.078
376.1232,21.297
376.2756,19.297
376.428,18.625
376.5804,19.25
376.7328,19.813
376.8852,20.641
377.0376,17.328
377.19,20.313
377.3424,18.359
377.4948,19.016
377.6472,17.328
377.7996,18.938
377.952,20.219
378.1044,19.234
378.2568,17.094
378.4092,15.641
378.5616,15.461
378.714,17.141
378.8664,16.969
379.0188,15.539
379.1712,14.219
379.3236,14.578
379.476,16.344
379.6284,16.359
379.7808,14.063
379.9332,14.383
380.0856,12.758
380.238,15.195
380.3904,14.539
380.5428,17.766
380.6952,16.938
380.8476,17.25
381,15.625
381.1524,16.297
381.3048,17.031
381.4572,18.188
381.6096,17.672
381.762,17.766
381.9144,18.031
382.0668,19.453
382.2192,18.484
382.3716,17.953
382.524,16.547
382.6764,15.305
382.8288,13.703
382.9812,13.219
383.1336,13.406
383.286,15.258
383.4384,16.094
383.5908,16.172
383.7432,15.578
383.8956,16.844
384.048,19.578
384.2004,19.375
384.3528,19.156
384.5052,18.063
384.6576,17.563
384.81,17.031
384.9624,15.852
385.1148,16.984
385.2672,17.891
385.4196,18.422
385.572,16.188
385.7244,14.891
385.8768,13.828
386.0292,17.188
386.1816,18.141
386.334,19.859
386.4864,19.328
386.6388,18.781
386.7912,20.719
386.9436,20
387.096,20.109
387.2484,18.766
387.4008,18.375
387.5532,16.672
387.7056,13.82
387.858,14.555
388.0104,15.773
388.1628,17.906
388.3152,17.656
388.4676,18.938
388.62,17.125
388.7724,16.828
388.9248,15.563
389.0772,16.156
389.2296,14.969
389.382,15.727
389.5344,15.461
389.6868,15.227
389.8392,14.508
389.9916,16.281
390.144,16.469
390.2964,16.609
390.4488,15.789
390.6012,15.039
390.7536,16.297
390.906,16.922
391.0584,19.453
391.2108,17.984
391.3632,19.125
391.5156,18.719
391.668,19.281
391.8204,18
391.9728,18.063
392.1252,18.938
392.2776,17.75
392.43,16.234
392.5824,15.18
392.7348,16.359
392.8872,16.813
393.0396,13.953
393.192,12.516
393.3444,12.883
393.4968,12.914
393.6492,12.281
393.8016,10.859
393.954,12.805
394.1064,12.086
394.2588,10.914
394.4112,10.195
394.5636,10.891
394.716,11.883
394.8684,13.414
395.0208,15.547
395.1732,17.453
395.3256,17.547
395.478,16.531
395.6304,14.633
395.7828,12.602
395.9352,13.094
396.0876,17.094
396.24,18.938
396.3924,18.563
396.5448,18.563
396.6972,20.344
396.8496,22
397.002,22.25
397.1544,20.906
397.3068,20.672
397.4592,19.938
397.6116,20.781
397.764,20.375
397.9164,21.688
398.0688,20.703
398.2212,20.609
398.3736,18.016
398.526,17.75
398.6784,18.172
398.8308,18.953
398.9832,17.938
399.1356,17.781
399.288,16.359
399.4404,16.656
399.5928,14.266
399.7452,14.617
399.8976,13.484
400.05,14.023
400.2024,14.648
400.3548,14.164
400.5072,16.031
400.6596,14.164
400.812,14.984
400.9644,16.109
401.1168,18.625
401.2692,17.641
401.4216,16.656
401.574,15.219
401.7264,16.359
401.8788,15.234
402.0312,16.656
402.1836,17.938
402.336,16.328
402.4884,17.453
402.6408,18.047
402.7932,20.484
402.9456,17.547
403.098,18.25
403.2504,16.703
403.4028,20.297
403.5552,19.156
403.7076,19.578
403.86,18.141
404.0124,20.156
404.1648,19.688
404.3172,17.906
404.4696,14.758
404.622,16.422
404.7744,15.43
404.9268,14.492
405.0792,13.625
405.2316,13.727
405.384,15.148
405.5364,15.32
405.6888,16.344
405.8412,16.016
405.9936,17.078
406.146,16.109
406.2984,16.25
406.4508,15.18
406.6032,16.547
406.7556,16.719
406.908,15.445
407.0604,14.359
407.2128,15.172
407.3652,16.109
407.5176,16.313
407.67,14.789
407.8224,14
407.9748,11.852
408.1272,11.273
408.2796,11.352
408.432,13.008
408.5844,13.602
408.7368,14.016
408.8892,13.258
409.0416,12.828
409.194,12.758
409.3464,13.367
409.4988,14.844
409.6512,15.742
409.8036,18.156
409.956,20.234
410.1084,20.594
410.2608,19.141
410.4132,16.172
410.5656,17.438
410.718,17.281
410.8704,19.438
411.0228,17.469
411.1752,17.938
411.3276,16.688
411.48,17.828
411.6324,18.391
411.7848,18.922
411.9372,17.453
412.0896,15.852
412.242,15.93
412.3944,18.531
412.5468,19.375
412.6992,18.406
412.8516,17.922
413.004,17.25
413.1564,17.906
413.3088,15.742
413.4612,16.094
413.6136,15.805
413.766,14.719
413.9184,14.195
414.0708,13.508
414.2232,13.883
414.3756,15.391
414.528,15.016
414.6804,15.93
414.8328,16.188
414.9852,16.359
415.1376,14.758
415.29,11.547
415.4424,10.953
415.5948,12.18
415.7472,14.797
415.8996,15.211
416.052,14.781
416.2044,13.258
416.3568,13.648
416.5092,13.367
416.6616,13.75
416.814,14.555
416.9664,15.797
417.1188,15.477
417.2712,14.469
417.4236,14.797
417.576,15.078
417.7284,15.969
417.8808,15.969
418.0332,17.375
418.1856,17.172
418.338,15.594
418.4904,14.398
418.6428,16.219
418.7952,18.125
418.9476,20.563
419.1,19.313
419.2524,17.547
419.4048,15.258
419.5572,14.055
419.7096,14.281
419.862,13.508
420.0144,14.32
420.1668,15.016
420.3192,15.5
420.4716,14.992
420.624,14.883
420.7764,14.813
420.9288,15.664
421.0812,15.609
421.2336,16.953
421.386,16.125
421.5384,16.156
421.6908,14.82
421.8432,15.633
421.9956,15.063
422.148,14.953
422.3004,13.063
422.4528,13.969
422.6052,15.867
422.7576,16.625
422.91,15.492
423.0624,15.117
423.2148,16.422
423.3672,17.359
423.5196,15.508
423.672,15.648
423.8244,16.188
423.9768,16.188
424.1292,12.016
424.2816,11.18
424.434,11.445
424.5864,14.5
424.7388,14.609
424.8912,14.031
425.0436,13.656
425.196,13.711
425.3484,15.008
425.5008,13.742
425.6532,13.523
425.8056,12.445
425.958,13.75
426.1104,15.359
426.2628,15.625
426.4152,15.578
426.5676,12.898
426.72,13.359
426.8724,13.078
427.0248,13.25
427.1772,12.633
427.3296,11.297
427.482,11.93
427.6344,11.484
427.7868,12.656
427.9392,13.797
428.0916,13.766
428.244,12.953
428.3964,11.328
428.5488,12.961
428.7012,12.805
428.8536,14.625
429.006,14.109
429.1584,14.797
429.3108,12.656
429.4632,11.016
429.6156,13.703
429.768,14.516
429.9204,15.773
430.0728,14.5
430.2252,16.109
430.3776,16.984
430.53,15.703
430.6824,15.047
430.8348,14.398
430.9872,15.523
431.1396,15.047
431.292,15.711
431.4444,15.07
431.5968,15.547
431.7492,16.656
431.9016,17.484
432.054,16.359
432.2064,15.227
432.3588,14.406
432.5112,16.406
432.6636,14.625
432.816,15.578
432.9684,14.156
433.1208,14.297
433.2732,12.555
433.4256,12.609
433.578,13.359
433.7304,13.969
433.8828,13.922
434.0352,13.656
434.1876,14.641
434.34,16.766
434.4924,15.969
434.6448,15.797
434.7972,15.641
434.9496,16.875
435.102,15.93
435.2544,12.883
435.4068,13.891
435.5592,15.93
435.7116,16.219
435.864,16.094
436.0164,14.219
436.1688,15.68
436.3212,14.094
436.4736,15.047
436.626,13.289
436.7784,12.914
436.9308,11.336
437.0832,12.742
437.2356,13.555
437.388,14.258
437.5404,14.75
437.6928,14.5
437.8452,15.039
437.9976,13.844
438.15,13.93
438.3024,14.984
438.4548,15.078
438.6072,13.375
438.7596,10.563
438.912,11.711
439.0644,13.5
439.2168,14.469
439.3692,12.352
439.5216,10.664
439.674,10.93
439.8264,11.758
439.9788,13.977
440.1312,13.563
440.2836,11.844
440.436,11.398
440.5884,11.117
440.7408,13.625
440.8932,13.016
441.0456,13.141
441.198,10.992
441.3504,9.172
441.5028,10.477
441.6552,13.266
441.8076,13.75
441.96,12.492
442.1124,11.055
442.2648,12.375
442.4172,11.688
442.5696,11.047
442.722,11.398
442.8744,11.398
443.0268,13.188
443.1792,13.609
443.3316,16.438
443.484,15.109
443.6364,16.297
443.7888,14.773
443.9412,14.484
444.0936,14.273
444.246,16.328
444.3984,16.297
444.5508,16.688
444.7032,13.664
444.8556,14.219
445.008,12.852
445.1604,13.398
445.3128,13.648
445.4652,13.75
445.6176,13.211
445.77,12.258
445.9224,10.852
446.0748,10.875
446.2272,11.336
446.3796,13.805
446.532,14.43
446.6844,14.672
446.8368,13.016
446.9892,12.922
447.1416,12.742
447.294,13.234
447.4464,13.398
447.5988,15.188
447.7512,13.086
447.9036,12.023
448.056,10.008
448.2084,10.805
448.3608,11.625
448.5132,11.297
448.6656,11.477
448.818,10.68
448.9704,10.688
449.1228,11.016
449.2752,10.109
449.4276,9.617
449.58,11.602
449.7324,13.164
449.8848,13.656
450.0372,11.875
450.1896,12.359
450.342,12.18
450.4944,13.406
450.6468,11.375
450.7992,12.672
450.9516,12.68
451.104,13.555
451.2564,13.883
451.4088,12.992
451.5612,14.133
451.7136,13.055
451.866,13.781
452.0184,13.883
452.1708,14.961
452.3232,14.773
452.4756,14.195
452.628,12.93
452.7804,13.297
452.9328,15.641
453.0852,15.766
453.2376,15.047
453.39,14.852
453.5424,15.164
453.6948,15.875
453.8472,14.516
453.9996,14.953
454.152,15.133
454.3044,14.969
454.4568,14.969
454.6092,15.117
454.7616,15.063
454.914,14.18
455.0664,14.5
455.2188,14.664
455.3712,16.906
455.5236,15.195
455.676,15.57
455.8284,14.211
455.9808,13.172
456.1332,12.086
456.2856,11.383
456.438,11.711
456.5904,11.531
456.7428,11.164
456.8952,11.164
457.0476,10.203
457.2,9.125
457.3524,9.484
457.5048,10.422
457.6572,11.68
457.8096,10.188
457.962,9.516
458.1144,9.703
458.2668,11.313
458.4192,13.273
458.5716,13.055
458.724,11.867
458.8764,10.102
459.0288,10.672
459.1812,13.797
459.3336,14.852
459.486,15.094
459.6384,12.492
459.7908,10.188
459.9432,10.344
460.0956,9.992
460.248,10.117
460.4004,10.266
460.5528,11.945
460.7052,12.828
460.8576,11.227
461.01,9.922
461.1624,9.273
461.3148,9.609
461.4672,11.031
461.6196,12.094
461.772,11.938
461.9244,11.648
462.0768,12.547
462.2292,12.219
462.3816,11.078
462.534,8.398
462.6864,9.383
462.8388,12.445
462.9912,15.125
463.1436,14.789
463.296,11.547
463.4484,11.945
463.6008,11.945
463.7532,12.117
463.9056,9.531
464.058,9.203
464.2104,9.859
464.3628,12.453
464.5152,13.164
464.6676,13
464.82,11.891
464.9724,11.18
465.1248,10.141
465.2772,10.445
465.4296,11.75
465.582,13
465.7344,14.125
465.8868,14.602
466.0392,14.57
466.1916,15.211
466.344,15.859
466.4964,15.859
466.6488,16.516
466.8012,15.695
466.9536,17.625
467.106,16.953
467.2584,18.438
467.4108,18.594
467.5632,16.813
467.7156,15.516
467.868,14.875
468.0204,13.906
468.1728,12.461
468.3252,10.68
468.4776,12.227
468.63,11.25
468.7824,9.844
468.9348,9.273
469.0872,10.078
469.2396,10.789
469.392,10.297
469.5444,9.977
469.6968,10.016
469.8492,10.016
470.0016,11.633
470.154,11
470.3064,10.813
470.4588,8.875
470.6112,10.648
470.7636,12.289
470.916,12.773
471.0684,11.953
471.2208,12.766
471.3732,12.281
471.5256,11.734
471.678,9.148
471.8304,10.711
471.9828,11.102
472.1352,11.75
472.2876,11.914
472.44,12.734
472.5924,13.648
472.7448,13.867
472.8972,12.719
473.0496,13.781
473.202,13.461
473.3544,14.109
473.5068,11.977
473.6592,12.953
473.8116,15.375
473.964,16.078
474.1164,13.172
474.2688,10.891
474.4212,11.945
474.5736,15.672
474.726,15.156
474.8784,13.859
475.0308,12.391
475.1832,12.734
475.3356,14.352
475.488,14.5
475.6404,15.313
475.7928,14.484
475.9452,12.875
476.0976,12.391
476.25,10.781
476.4024,12.563
476.5548,13.484
476.7072,12.859
476.8596,10.922
477.012,9.672
477.1644,9.992
477.3168,10.516
477.4692,10.352
477.6216,12.438
477.774,13.852
477.9264,15.164
478.0788,14.813
478.2312,13.516
478.3836,11.891
478.536,10.469
478.6884,11.117
478.8408,12.141
478.9932,11.984
479.1456,10.5
479.298,10.93
479.4504,11.258
479.6028,12.422
479.7552,12.102
479.9076,11.734
480.06,12.547
480.2124,12.547
480.3648,13.609
480.5172,10.875
480.6696,11.109
480.822,12.195
480.9744,14.133
481.1268,14.164
481.2792,12.055
481.4316,11.898
481.584,12.07
481.7364,12.719
481.8888,11.711
482.0412,12.75
482.1936,12.961
482.346,14.125
482.4984,11.195
482.6508,10.852
482.8032,10.688
482.9556,12.313
483.108,12.305
483.2604,11.977
483.4128,11.523
483.5652,11.188
483.7176,10.375
483.87,10.391
484.0224,10.875
484.1748,12.617
484.3272,13.383
484.4796,13.547
484.632,13.188
484.7844,11.57
484.9368,12.055
485.0892,11.164
485.2416,12.297
485.394,13.266
485.5464,14.336
485.6988,14.664
485.8512,11.125
486.0036,10.695
486.156,10.43
486.3084,12.023
486.4608,13.008
486.6132,12.836
486.7656,13.32
486.918,10.805
487.0704,10.109
487.2228,9.789
487.3752,11.484
487.5276,12.188
487.68,12.188
487.8324,11.539
487.9848,12.078
488.1372,12.719
488.2896,14.016
488.442,13.469
488.5944,14.617
488.7468,13
488.8992,12.828
489.0516,11.523
489.204,11.5
489.3564,13.398
489.5088,13.563
489.6612,14.289
489.8136,12.82
489.966,13.086
490.1184,11.734
490.2708,10.414
490.4232,9.5
490.5756,11.453
490.728,10.914
490.8804,9.938
491.0328,9.602
491.1852,10.695
491.3376,10.789
491.49,9.984
491.6424,10.781
491.7948,10.961
491.9472,10.633
492.0996,12.266
492.252,13.156
492.4044,14.453
492.5568,11.844
492.7092,11.492
492.8616,9.227
493.014,10.516
493.1664,11.586
493.3188,13.055
493.4712,12.094
493.6236,11.844
493.776,11.836
493.9284,11.5
494.0808,10.352
494.2332,9.875
494.3856,9.852
494.538,9.047
494.6904,10.156
494.8428,10.867
494.9952,12.164
495.1476,11.031
495.3,10.336
495.4524,10.875
495.6048,11.844
495.7572,14.266
495.9096,14.688
496.062,14.758
496.2144,15.086
496.3668,15.398
496.5192,15.164
496.6716,13.563
496.824,11.789
496.9764,12.43
497.1288,11.938
497.2812,12.664
497.4336,11.688
497.586,11.219
497.7384,10.813
497.8908,12.438
498.0432,13.25
498.1956,15.164
498.348,13.391
498.5004,13.523
498.6528,11.852
498.8052,13.078
498.9576,10.758
499.11,11.195
499.2624,11.336
499.4148,15.836
499.5672,14.523
499.7196,14.383
499.872,12.203
500.0244,12.422
500.1768,13.102
500.3292,13.102
500.4816,14.914
500.634,12.602
500.7864,12.75
500.9388,12.992
501.0912,14.078
501.2436,13.945
501.396,13.078
501.5484,12.531
501.7008,13.078
501.8532,14.094
502.0056,13.961
502.158,13.836
502.3104,12.602
502.4628,12.875
502.6152,12.18
502.7676,13.273
502.92,13.258
503.0724,15.172
503.2248,15.32
503.3772,16.563
503.5296,14.797
503.682,13.133
503.8344,12.859
503.9868,12.977
504.1392,14.508
504.2916,14.234
504.444,13.289
504.5964,10.867
504.7488,12.094
504.9012,11.828
505.0536,12.734
505.206,11.313
505.3584,11.984
505.5108,12.672
505.6632,13.688
505.8156,14.234
505.968,13.695
506.1204,12.734
506.2728,11.523
506.4252,12.75
506.5776,13.031
506.73,13.422
506.8824,13.828
507.0348,13.969
507.1872,16.281
507.3396,15.477
507.492,15.633
507.6444,14.273
507.7968,15.648
507.9492,16.297
508.1016,17.5
508.254,17.641
508.4064,16.813
508.5588,15.078
508.7112,13.734
508.8636,13.328
509.016,13.875
509.1684,13.875
509.3208,13.336
509.4732,12.367
509.6256,10.719
509.778,11.953
509.9304,14.023
510.0828,16.297
510.2352,15.172
510.3876,13.945
510.54,12.992
510.6924,12.883
510.8448,12.555
510.9972,12.68
511.1496,14.336
511.302,14.789
511.4544,15.609
511.6068,14.227
511.7592,13.641
511.9116,11.711
512.064,11.43
512.2164,11.672
512.3688,12.633
512.5212,13.461
512.6736,14.344
512.826,14.539
512.9784,14.938
513.1308,15.773
513.2832,16.125
513.4356,15.727
513.588,13.5
513.7404,14.469
513.8928,16.375
514.0452,17.078
514.1976,15.836
514.35,14.359
514.5024,16
514.6548,14.633
514.8072,14.344
514.9596,12.57
515.112,13.539
515.2644,13.117
515.4168,12.984
515.5692,13.297
515.7216,13.852
515.874,14.406
516.0264,12.992
516.1788,13.141
516.3312,13.414
516.4836,15.195
516.636,15.57
516.7884,15.719
516.9408,14.625
517.0932,15.461
517.2456,14.211
517.398,14.367
517.5504,12.727
517.7028,11.563
517.8552,12.391
518.0076,12.117
518.16,12.742
518.3124,11.773
518.4648,11.594
518.6172,12.141
518.7696,13.656
518.922,13.578
519.0744,13.797
519.2268,12.148
519.3792,12.141
519.5316,12.195
519.684,13.555
519.8364,13.523
519.9888,12.422
520.1412,12.148
520.2936,12.867
520.446,15.82
520.5984,15.695
520.7508,14.188
520.9032,14.672
521.0556,15.594
521.208,16.406
521.3604,13.523
521.5128,11.359
521.6652,12.586
521.8176,15.063
521.97,16.453
522.1224,14.273
522.2748,12.906
522.4272,11.648
522.5796,13.711
522.732,13.836
522.8844,15.203
523.0368,14.641
523.1892,13.969
523.3416,12.594
523.494,11.781
523.6464,13.133
523.7988,14.391
523.9512,15.07
524.1036,15.188
524.256,15.32
524.4084,14.5
524.5608,13.297
524.7132,12.922
524.8656,13.336
525.018,14.023
525.1704,15.898
525.3228,17.109
525.4752,15.477
525.6276,13.133
525.78,12.055
525.9324,14.242
526.0848,12.922
526.2372,13.336
526.3896,12.109
526.542,14.406
526.6944,15.602
526.8468,16.547
526.9992,16.125
527.1516,14.109
527.304,12.953
527.4564,13.773
527.6088,16.094
527.7612,15.883
527.9136,14.664
528.066,13.742
528.2184,15.461
528.3708,16.125
528.5232,15.523
528.6756,15.859
528.828,17.5
528.9804,19.531
529.1328,19.203
529.2852,20.031
529.4376,21.281
529.59,21.859
529.7424,19.406
529.8948,16.797
530.0472,16.391
530.1996,16.391
530.352,16.391
530.5044,17.219
530.6568,18.875
530.8092,18.047
530.9616,14.508
531.114,13.789
531.2664,14.469
531.4188,17.547
531.5712,17.125
531.7236,16.453
531.876,15.016
532.0284,14.195
532.1808,14.609
532.3332,13.852
532.4856,13.953
532.638,14.766
532.7904,14.844
532.9428,14.031
533.0952,11.977
533.2476,11.844
533.4,12.563
533.5524,14.711
533.7048,15.391
533.8572,15.258
534.0096,14.891
534.162,17.234
534.3144,18.313
534.4668,18.859
534.6192,17.641
534.7716,20.672
534.924,22.453
535.0764,22.906
535.2288,20.469
535.3812,19.375
535.5336,20.281
535.686,19.813
535.8384,19.953
535.9908,19.141
536.1432,19.859
536.2956,19.031
536.448,19.297
536.6004,21.203
536.7528,22.719
536.9052,22.109
537.0576,20.891
537.21,18.266
537.3624,17.391
537.5148,16.156
537.6672,16.156
537.8196,18.219
537.972,17.406
538.1244,19.328
538.2768,19.578
538.4292,19.422
538.5816,17.922
538.734,16.25
538.8864,15.961
539.0388,16.656
539.1912,16.141
539.3436,16.844
539.496,17.094
539.6484,16.828
539.8008,16.688
539.9532,14.508
540.1056,15.461
540.258,14.773
540.4104,16.688
540.5628,16.563
540.7152,17.25
540.8676,17.375
541.02,15.453
541.1724,14.5
541.3248,12.797
541.4772,13.758
541.6296,14.031
541.782,15.891
541.9344,15.156
542.0868,15.438
542.2392,14.195
542.3916,15.063
542.544,15.352
542.6964,16.5
542.8488,16.234
543.0012,15.961
543.1536,15.883
543.306,17.672
543.4584,19.719
543.6108,20.422
543.7632,20.141
543.9156,18.922
544.068,18.078
544.2204,16.094
544.3728,15
544.5252,14.711
544.6776,15.039
544.83,14.484
544.9824,12.18
545.1348,10.945
545.2872,10.938
545.4396,13.109
545.592,13.109
545.7444,14.883
545.8968,15.242
546.0492,18.656
546.2016,18.781
546.354,19.391
546.5064,19.516
546.6588,20.203
546.8112,20.469
546.9636,19.922
547.116,19.703
547.2684,20.125
547.4208,19.031
547.5732,18.703
547.7256,17.188
547.878,17.828
548.0304,18.25
548.1828,18.391
548.3352,19.266
548.4876,20.063
548.64,21.922
548.7924,22.047
548.9448,20.281
549.0972,18.281
549.2496,18.969
549.402,19.375
549.5544,21.156
549.7068,22.094
549.8592,23.688
550.0116,25.875
550.164,24.234
550.3164,25.375
550.4688,21.281
550.6212,20.75
550.7736,19.125
550.926,19.281
551.0784,19.297
551.2308,19.813
551.3832,22.219
551.5356,22.766
551.688,21.266
551.8404,20.922
551.9928,20.641
552.1452,21.359
552.2976,20.547
552.45,19.047
