DEPTH,GR
411.938,9.531
412.09,10.078
412.243,10.602
412.395,10.922
412.548,10.492
412.7,9.859
412.852,9.297
413.005,9.086
413.157,9.406
413.31,11.109
413.462,11.984
413.614,12.93
413.767,11.148
413.919,11.023
414.072,9.836
414.224,9.531
414.376,9.211
414.529,8.414
414.681,8.797
414.834,8.172
414.986,10.055
415.138,10.094
415.291,10.398
415.443,9.039
415.596,8.617
415.748,8.836
415.9,8.664
416.053,8.867
416.205,8.977
416.358,9.883
416.51,9.836
416.662,9
416.815,8.367
416.967,9.266
417.12,10.32
417.272,11.047
417.424,10.523
417.577,9.891
417.729,9.266
417.882,9.117
418.034,8.602
418.186,8.602
418.339,9.055
418.491,9.055
418.644,9.016
418.796,8.172
418.948,9.328
419.101,9.688
419.253,10.227
419.406,9.117
419.558,9.227
419.71,9.32
419.863,10.109
420.015,9.891
420.168,9.156
420.32,8.938
420.472,8.938
420.625,9.672
420.777,9.898
420.93,11.164
421.082,12.148
421.234,11.93
421.387,10.453
421.539,10.789
421.692,12.055
421.844,12.688
421.996,10.945
422.149,8.945
422.301,8.711
422.454,8.914
422.606,10.594
422.758,12.609
422.911,13.922
423.063,14.547
423.216,12.977
423.368,12.609
423.52,11.133
423.673,10.609
423.825,10.289
423.978,10.297
424.13,11.133
424.282,11.664
424.435,12.438
424.587,12.641
424.74,13.055
424.892,12.914
425.044,12.844
425.197,13.156
425.349,12.734
425.502,13.547
425.654,11.766
425.806,13.023
425.959,11.648
426.111,11.445
426.264,9.852
426.416,10.492
426.568,11.328
426.721,12.086
426.873,12.195
427.026,13.328
427.178,13.844
427.33,13.633
427.483,13.195
427.635,11.523
427.788,11.313
427.94,11.563
428.092,12.516
428.245,12.313
428.397,10.633
428.55,10.32
428.702,10.414
428.854,10.945
429.007,10.633
429.159,12.32
429.312,12.766
429.464,12.555
429.616,11.398
429.769,12.531
429.921,12.531
430.074,12.352
430.226,11.82
430.378,12.555
430.531,12.328
430.683,11.156
430.836,11.398
430.988,12.555
431.14,13.398
431.293,14.109
431.445,12.961
431.598,12.867
431.75,12.031
431.902,11.797
432.055,12.211
432.207,12.453
432.36,13.078
432.512,12.242
432.664,11.797
432.817,11.273
432.969,11.07
433.122,10.852
433.274,11.375
433.426,10.813
433.579,12.078
433.731,10.922
433.884,11.484
434.036,8.531
434.188,8.844
434.341,7.949
434.493,10.156
434.646,9.523
434.798,10.648
434.951,9.805
435.103,11.477
435.255,10.195
435.408,10.609
435.56,10.086
435.712,10.82
435.865,10.914
436.017,10.273
436.17,9.539
436.322,9.641
436.474,10.977
436.627,12.445
436.779,11.078
436.932,10.078
437.084,9.336
437.236,9.859
437.389,9.07
437.541,9.289
437.694,9.602
437.846,9.938
437.998,8.883
438.151,8.742
438.303,9.414
438.456,10.773
438.608,11.109
438.76,10.258
438.913,9.211
439.065,9.773
439.218,8.617
439.37,8.195
439.522,7.242
439.675,7.563
439.827,8.047
439.98,7.211
440.132,8.148
440.284,8.406
440.437,10.078
440.589,10.617
440.742,10.195
440.894,10.414
441.047,9.57
441.199,8.617
441.351,7.355
441.504,8.195
441.656,10.203
441.808,10.383
441.961,10.07
442.113,10.391
442.266,10.203
442.418,10.867
442.57,9.07
442.723,8.977
442.875,7.684
443.028,7.887
443.18,7.949
443.332,8.789
443.485,9.008
443.637,8.672
443.79,8.563
443.942,9.5
444.094,10.195
444.247,9.508
444.399,8.883
444.552,9.313
444.704,10.094
444.857,10.195
445.009,9.75
445.161,9.117
445.314,8.523
445.466,8.859
445.618,8.859
445.771,8.977
445.923,8.242
446.076,9.211
446.228,10.328
446.38,12
446.533,11.141
446.685,10.25
446.838,9
446.99,9.516
447.143,9.461
447.295,11.328
447.447,12.273
447.6,11.773
447.752,10.211
447.904,9.367
448.057,10.813
448.209,11.016
448.362,12.359
448.514,12.141
448.667,11.086
448.819,10.406
448.971,10.203
449.124,11.039
449.276,9.703
449.429,10.008
449.581,10.43
449.733,10.984
449.886,11.828
450.038,10.969
450.19,10.453
450.343,11.078
450.495,11.336
450.648,11.305
450.8,9.102
450.953,9.305
451.105,10.414
451.257,11.563
451.41,10.945
451.562,10.602
451.714,9.953
451.867,9.844
452.019,9.953
452.172,11.445
452.324,12.398
452.477,12.195
452.629,11.469
452.781,11.133
452.934,10.93
453.086,9.289
453.239,10.148
453.391,10.141
453.543,11.148
453.696,10.414
453.848,10.945
454,12.414
454.153,11.969
454.305,11.344
454.458,9.453
454.61,9.594
454.763,9.805
454.915,10.961
455.067,11.172
455.22,12.328
