DEPTH,GR
341.376,16.984
341.5284,18.406
341.6808,21.453
341.8332,20.813
341.9856,22.938
342.138,20.594
342.2904,22.984
342.4428,19.922
342.5952,19.453
342.7476,17.719
342.9,19.359
343.0524,19.828
343.2048,17.281
343.3572,16.547
343.5096,15.367
343.662,19.406
343.8144,22.031
343.9668,23.266
344.1192,22.063
344.2716,20.875
344.424,19.891
344.5764,19.656
344.7288,17.75
344.8812,17.516
345.0336,14.469
345.186,13.992
345.3384,16.094
345.4908,18.672
345.6432,19.359
345.7956,19.125
345.948,19.109
346.1004,20.219
346.2528,17.859
346.4052,17.641
346.5576,15.602
346.71,16.313
346.8624,14.664
347.0148,14.18
347.1672,16.063
347.3196,16.438
347.472,19.5
347.6244,18.578
347.7768,17.016
347.9292,15.625
348.0816,18.703
348.234,20.141
348.3864,17.484
348.5388,16.078
348.6912,16.328
348.8436,18.25
348.996,16.813
349.1484,15.609
349.3008,15.375
349.4532,13.484
349.6056,14.344
349.758,16.234
349.9104,18.109
350.0628,19.172
350.2152,18.453
350.3676,17.031
350.52,17.266
350.6724,16.078
350.8248,15.938
350.9772,13.555
351.1296,13.078
351.282,10.859
351.4344,9.695
351.5868,8.977
351.7392,9.93
351.8916,10.836
352.044,10.617
352.1964,10.148
352.3488,9.938
352.5012,9.477
352.6536,11.359
352.806,11.133
352.9584,13.742
353.1108,13.734
353.2632,13.258
353.4156,11.828
353.568,12.531
353.7204,15.602
353.8728,15.102
354.0252,13.18
354.1776,10.82
354.33,9.422
354.4824,11.133
354.6348,11.617
354.7872,12.336
354.9396,11.156
355.092,10.438
355.2444,12.797
355.3968,11.141
355.5492,11.375
355.7016,9.469
355.854,10.414
356.0064,11.133
356.1588,11.852
356.3112,13.508
356.4636,13.508
356.616,13.055
356.7684,10.219
356.9208,10.219
357.0732,10.438
357.2256,13.742
357.378,12.789
357.5304,11.133
357.6828,9.477
357.8352,10.422
357.9876,11.602
358.14,11.125
358.2924,11.859
358.4448,13.281
358.5972,13.523
358.7496,11.141
358.902,9
359.0544,9.227
359.2068,10.633
359.3592,9.688
359.5116,8.273
