DEPTH,GR
636.8,58.8444
636.9,59.7269
637,61.0559
637.1,61.7205
637.2,60.7995
637.3,58.8582
637.4,57.1239
637.5,54.9129
637.6,50.8201
637.7,49.8995
637.8,48.3676
637.9,47.3724
638,49.2682
638.1,49.9213
638.2,51.1328
638.3,53.7011
638.4,54.1498
638.5,54.3478
638.6,54.8229
638.7,55.5983
638.8,56.0995
638.9,56.3147
639,55.275
639.1,53.5197
639.2,51.8304
639.3,50.8884
639.4,51.243
639.5,52.0329
639.6,53.1638
639.7,53.8074
639.8,53.9198
639.9,53.5354
640,52.7754
640.1,52.1687
640.2,51.8725
640.3,52.4397
640.4,53.639
640.5,55.2168
640.6,56.3709
640.7,55.5447
640.8,53.3359
640.9,48.8488
641,45.1458
641.1,43.2973
641.2,41.811
641.3,38.9362
641.4,35.6249
641.5,33.4852
641.6,33.0364
641.7,31.931
641.8,30.0342
641.9,28.7426
642,28.1714
642.1,29.8005
642.2,32.9622
642.3,36.6212
642.4,38.9957
642.5,40.4411
642.6,44.0075
642.7,50.1476
642.8,54.343
642.9,56.2022
643,55.8038
643.1,55.0978
643.2,55.0186
643.3,54.1101
643.4,54.2737
643.5,54.5145
643.6,52.8996
643.7,51.5192
643.8,51.2662
643.9,51.065
644,49.9161
644.1,49.7028
644.2,47.367
644.3,45.3046
644.4,44.957
644.5,45.7128
644.6,45.9822
644.7,46.2026
644.8,46.2928
644.9,46.2777
645,46.5801
645.1,46.2779
645.2,45.2917
645.3,44.9415
645.4,47.1914
645.5,50.1575
645.6,51.3789
645.7,49.9606
645.8,48.5626
645.9,48.6154
646,52.2678
646.1,54.68
646.2,52.2422
646.3,49.1437
646.4,47.771
646.5,49.6383
646.6,50.7636
646.7,49.6424
646.8,46.5216
646.9,45.1781
647,44.8596
647.1,44.391
647.2,44.0126
647.3,44.6466
647.4,45.2279
647.5,45.1275
647.6,52.6822
647.7,49.6028
647.8,46.5587
647.9,46.5587
648,47.1666
648.1,48.6069
648.2,50.904
648.3,52.3544
648.4,53.7883
648.5,55.3843
648.6,57.241
648.7,57.2162
648.8,55.259
648.9,49.3234
649,45.4027
649.1,44.1508
649.2,46.6836
649.3,47.4418
649.4,47.4418
649.5,48.7244
649.6,48.7244
649.7,47.3339
649.8,45.9434
649.9,44.5529
650,43.1624
650.1,41.7719
650.2,40.3814
650.3,38.9909
650.4,37.6004
650.5,36.2099
650.6,34.8194
650.7,33.4289
650.8,35.2653
650.9,35.6979
651,35.6979
651.1,36.8165
651.2,38.4541
651.3,40.1276
651.4,43.1936
651.5,46.1771
651.6,49.5944
651.7,54.7451
651.8,55.2867
651.9,53.5762
652,49.3523
652.1,44.5583
652.2,42.0129
652.3,41.2584
652.4,40.2055
652.5,40.5877
652.6,42.7985
652.7,46.5398
652.8,47.8047
652.9,50.314
653,50.6972
653.1,50.2382
653.2,50.7641
653.3,50.3279
653.4,50.4284
653.5,49.1628
653.6,48.6798
653.7,47.3945
653.8,46.5133
653.9,50.062
654,56.3222
654.1,65.2217
654.2,65.1819
654.3,66.406
654.4,66.8313
654.5,65.9993
654.6,68.0265
654.7,70.0364
654.8,70.0409
654.9,68.9024
655,69.6128
655.1,70.64
655.2,70.6034
655.3,67.9834
655.4,65.9795
655.5,64.2372
655.6,60.4133
655.7,58.823
655.8,54.9782
655.9,51.6838
656,49.0623
656.1,45.2352
656.2,44.1704
656.3,49.7088
656.4,55.0756
656.5,56.1583
656.6,56.9083
656.7,56.7489
656.8,55.9911
656.9,55.1565
657,51.8619
657.1,48.7432
657.2,49.9631
657.3,51.3596
657.4,51.9772
657.5,52.0441
657.6,52.0585
657.7,53.8922
657.8,57.3661
657.9,58.9135
658,61.6826
658.1,63.2503
658.2,62.2962
658.3,59.4633
658.4,57.7571
658.5,56.3773
658.6,54.5403
658.7,54.3418
658.8,56.1944
658.9,58.7679
659,59.6128
659.1,59.5161
659.2,58.7554
659.3,58.561
659.4,57.8984
659.5,57.6924
659.6,56.5221
659.7,53.3627
659.8,51.8908
659.9,49.7767
660,47.9174
660.1,47.8587
660.2,47.4167
660.3,50.0602
660.4,53.9907
660.5,55.0648
660.6,55.7103
660.7,56.3636
660.8,56.3196
660.9,56.2474
661,56.015
661.1,55.5128
661.2,54.6081
661.3,53.5615
661.4,52.5055
661.5,51.7757
661.6,51.0232
661.7,54.3307
661.8,57.9638
661.9,57.7468
662,57.1919
662.1,56.5044
662.2,55.6176
662.3,57.8427
662.4,59.7429
662.5,60.381
662.6,61.035
662.7,59.7658
662.8,52.6461
662.9,49.6751
663,49.9123
663.1,49.8983
663.2,52.3526
663.3,57.1578
663.4,58.8994
663.5,62.1621
663.6,64.6064
663.7,65.144
663.8,63.8713
663.9,62.9475
664,58.4673
664.1,52.3153
664.2,50.1958
664.3,49.084
664.4,48.1642
664.5,49.1016
664.6,49.8565
664.7,50.6586
664.8,51.8307
664.9,51.525
665,49.1361
665.1,47.7456
665.2,45.5903
665.3,42.8996
665.4,45.8442
665.5,50.2805
665.6,49.2746
665.7,47.3538
665.8,44.9255
665.9,39.848
666,38.4992
666.1,42.7559
666.2,45.0122
666.3,43.904
666.4,44.1996
666.5,49.4819
666.6,53.4272
666.7,49.1799
666.8,45.9337
666.9,47.1954
667,47.9249
667.1,48.6759
667.2,50.1646
667.3,50.3768
667.4,49.89
667.5,49.2518
667.6,49.1671
667.7,49.6552
667.8,49.8841
667.9,49.7334
668,48.0345
668.1,46.3982
668.2,46.3503
668.3,47.4413
668.4,48.3057
668.5,50.2147
668.6,54.2047
668.7,56.001
668.8,56.566
668.9,56.981
669,60.241
669.1,64.4336
669.2,64.5565
669.3,63.5115
669.4,62.165
669.5,56.4441
669.6,52.3567
669.7,48.6144
669.8,44.2332
669.9,44.2787
670,44.8668
670.1,45.7453
670.2,45.4582
670.3,46.4386
670.4,48.9297
670.5,49.2545
670.6,47.3059
670.7,45.2696
670.8,43.0106
670.9,41.4743
671,41.5452
671.1,41.9991
671.2,44.7983
671.3,47.8522
671.4,50.8749
671.5,53.9031
671.6,54.3258
671.7,53.4699
671.8,52.6461
671.9,50.5972
672,50.2694
672.1,53.2543
672.2,53.849
672.3,51.2248
672.4,51.764
672.5,57.0142
672.6,59.1285
672.7,55.9702
672.8,54.8181
672.9,57.0028
673,59.208
673.1,57.0156
673.2,52.428
673.3,49.9668
673.4,46.5405
673.5,43.5868
673.6,36.8995
673.7,30.1141
673.8,34.9848
673.9,40.1981
674,41.2199
674.1,41.3656
674.2,42.6059
674.3,43.4786
674.4,44.3407
674.5,45.9972
674.6,46.1969
674.7,45.2484
674.8,45.1697
674.9,50.7494
675,55.644
675.1,55.625
675.2,55.9492
675.3,54.0154
675.4,52.1086
675.5,48.8119
675.6,45.344
675.7,43.0743
675.8,40.2996
675.9,40.0388
676,47.4573
676.1,52.8366
676.2,56.6475
676.3,63.0393
676.4,63.5776
676.5,55.3962
676.6,49.1231
676.7,46.9985
676.8,44.1466
676.9,45.1193
677,46.2116
677.1,47.1531
677.2,48.3778
677.3,48.4868
677.4,47.6569
677.5,46.7431
677.6,44.7146
677.7,42.9373
677.8,44.1696
677.9,46.4018
678,49.1696
678.1,50.776
678.2,51.9397
678.3,54.172
678.4,56.7134
678.5,57.9035
678.6,58.0955
678.7,57.5577
678.8,56.7985
678.9,56.3721
679,55.5443
679.1,53.9391
679.2,51.2348
