source_id,monsoon_year,anomaly,scenario
AWI-CM-1-1-MR,1950,0.603495257818492,SSP2-4.5
AWI-CM-1-1-MR,1951,0.178656611816812,SSP2-4.5
AWI-CM-1-1-MR,1952,0.280089886989902,SSP2-4.5
AWI-CM-1-1-MR,1953,-0.00429658790936016,SSP2-4.5
AWI-CM-1-1-MR,1954,-0.186338860622222,SSP2-4.5
AWI-CM-1-1-MR,1955,-0.00540100306489721,SSP2-4.5
AWI-CM-1-1-MR,1956,0.755018080877582,SSP2-4.5
AWI-CM-1-1-MR,1957,-0.161828098286265,SSP2-4.5
AWI-CM-1-1-MR,1958,0.274748464745067,SSP2-4.5
AWI-CM-1-1-MR,1959,0.29274556966202,SSP2-4.5
AWI-CM-1-1-MR,1960,-0.0692845164464229,SSP2-4.5
AWI-CM-1-1-MR,1961,0.38242770657975,SSP2-4.5
AWI-CM-1-1-MR,1962,-0.309321401903854,SSP2-4.5
AWI-CM-1-1-MR,1963,-0.0209386539283025,SSP2-4.5
AWI-CM-1-1-MR,1964,0.142668479243948,SSP2-4.5
AWI-CM-1-1-MR,1965,0.219773261675094,SSP2-4.5
AWI-CM-1-1-MR,1966,0.310828842797567,SSP2-4.5
AWI-CM-1-1-MR,1967,0.55536683988071,SSP2-4.5
AWI-CM-1-1-MR,1968,-0.0209573015712843,SSP2-4.5
AWI-CM-1-1-MR,1969,-0.12644856836244,SSP2-4.5
AWI-CM-1-1-MR,1970,-0.617809322657005,SSP2-4.5
AWI-CM-1-1-MR,1971,-0.0501652062422611,SSP2-4.5
AWI-CM-1-1-MR,1972,0.229541866460901,SSP2-4.5
AWI-CM-1-1-MR,1973,0.21160872801102,SSP2-4.5
AWI-CM-1-1-MR,1974,-0.249692679365122,SSP2-4.5
AWI-CM-1-1-MR,1975,0.0598182675226977,SSP2-4.5
AWI-CM-1-1-MR,1976,-0.122402935497181,SSP2-4.5
AWI-CM-1-1-MR,1977,-0.453858279245973,SSP2-4.5
AWI-CM-1-1-MR,1978,0.667348635634138,SSP2-4.5
AWI-CM-1-1-MR,1979,0.180551407854794,SSP2-4.5
AWI-CM-1-1-MR,1980,-0.0482892961159596,SSP2-4.5
AWI-CM-1-1-MR,1981,0.241072003191977,SSP2-4.5
AWI-CM-1-1-MR,1982,0.317800006878756,SSP2-4.5
AWI-CM-1-1-MR,1983,0.0793198290561989,SSP2-4.5
AWI-CM-1-1-MR,1984,-0.0525166405907034,SSP2-4.5
AWI-CM-1-1-MR,1985,0.399717462386823,SSP2-4.5
